Customers,Number of Users,Invoice Date,Invoice #,Invoice Amount,Subscription,Account Code ,Dates of service ,Address,Lat,Long
University 1,,3/20/2015,ATLAS 315,"$72,000.00",1 Year,4700-0-00-00000-18-0000,1 Year Subscription 3/18/15 to 6/30/16,"1201 N 3rd St #6, Baton Rouge, LA 70802",30.46019,-91.18853
University 2,250.0,5/28/2015,AJ501,"$3,500.00",1 Year,4700-0-00-00000-16-0000,1 Year Subscription 6/1/15 to 6/30/16,"1 Kellogg Cir, Emporia, KS 66801",38.392609,-96.18139599999999
University 3,,6/23/2015,AJ502,"$3,500.00",1 Year,4700-0-00-00000-17-0000,1 Year Subscription 6/10/15 to 6/30/16,"150 University Blvd, Morehead, KY 40351",38.184921,-83.434441
University 4,,6/26/2015,AJ503,"$6,500.00",1 Year,4700-0-00-00000-32-0000,1 Year Subscription 6/1/15 to 6/30/16,"44 Pierrepont Ave, Potsdam, NY 13676",44.663779999999996,-74.978409
University 5,,10/7/2015,AJ504,$750.00,1 Year,4700-0-00-00000-20-0000,1 Year Subscription 10/05/15 to 9/30/16,"47645 College Dr, St Marys City, MD 20686",38.190601,-76.4263
University 6,,10/19/2015,AJ505,"$3,400.00",1 Year,4700-0-00-00000-28-0000,1 Year Subscription 10/01/15 to 10/1/16,"4230 McLeod Dr, Las Vegas, NV 89121",36.112561,-115.109222
University 7,,10/27/2015,AJ506,"$28,000.00",1 Year,4700-4-11-00100-00-1502,1 Year Subscription 09/18/15-12/31/16,"1849 C Street, N.W Washington, D.C. 20240",38.894453000000006,-77.042603
University 7,,12/10/2015,AJ507,"$16,200.00",1 Year,4700-4-11-00100-00-1502,1 Year Subscription 09/18/15-12/31/16,"1849 C Street, N.W Washington, D.C. 20240",38.894453000000006,-77.042603
University 1,,12/11/2015,AJ5081,"$67,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/1/16 to 12/31/17,"1201 N 3rd St #6, Baton Rouge, LA 70802",30.459975,-91.188601
University 8,250.0,12/17/2015,AJ508,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/22/15 to 10/31/16,"200 Stadium Dr, Williamsburg, VA 23185",37.27174,-76.71426
University 9,,1/6/2016,AJ509,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 01/01/16 to 01/31/17,"231 W Hancock St, Milledgeville, GA 31061",33.080841,-83.231778
University 9,,1/6/2016,AJ509,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 01/01/16 to 01/31/17,"231 W Hancock St, Milledgeville, GA 31061",33.080841,-83.231778
University 10,250.0,1/11/2016,AJ510,"$2,166.67",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 01/07/16 to 01/31/17,"1101 W College Ave, Jacksonville, IL 62650",39.732209999999995,-90.24694699999999
University 10,,1/11/2016,AJ510 (3),"$2,166.67",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 1/7/18 to 1/31/19,"1101 W College Ave, Jacksonville, IL 62650",39.732209999999995,-90.24694699999999
University 10,,1/11/2016,000006,"$2,166.67",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 1/7/17 to 1/31/18,"1101 W College Ave, Jacksonville, IL 62650",39.732209999999995,-90.24694699999999
